Year,Era,Era_Order,Decade,Is_Pre_ULCC,Is_COVID,Is_Full_Year,Years_Since_Start,Label
1995,Startup & Growth,1,1990s,1,0,1,1,FY1995
1996,Startup & Growth,1,1990s,1,0,1,2,FY1996
1997,Startup & Growth,1,1990s,1,0,1,3,FY1997
1998,Startup & Growth,1,1990s,1,0,1,4,FY1998
1999,Startup & Growth,1,1990s,1,0,1,5,FY1999
2000,Startup & Growth,1,2000s,1,0,1,6,FY2000
2001,Startup & Growth,1,2000s,1,0,1,7,FY2001
2002,Startup & Growth,1,2000s,1,0,1,8,FY2002
2003,Startup & Growth,1,2000s,1,0,1,9,FY2003
2004,Expansion & Crisis,2,2000s,1,0,1,10,FY2004
2005,Expansion & Crisis,2,2000s,1,0,1,11,FY2005
2006,Expansion & Crisis,2,2000s,1,0,1,12,FY2006
2007,Expansion & Crisis,2,2000s,1,0,1,13,FY2007
2008,Expansion & Crisis,2,2000s,1,0,1,14,FY2008
2009,Expansion & Crisis,2,2000s,1,0,1,15,FY2009
2010,Restructuring,3,2010s,1,0,1,16,FY2010
2011,Restructuring,3,2010s,1,0,1,17,FY2011
2012,Restructuring,3,2010s,1,0,1,18,FY2012
2013,Restructuring,3,2010s,1,0,1,19,FY2013
2014,Restructuring,3,2010s,1,0,1,20,FY2014
2015,ULCC Pivot,4,2010s,0,0,1,21,FY2015
2016,ULCC Pivot,4,2010s,0,0,1,22,FY2016
2017,ULCC Pivot,4,2010s,0,0,1,23,FY2017
2018,ULCC Pivot,4,2010s,0,0,1,24,FY2018
2019,ULCC Pivot,4,2010s,0,0,1,25,FY2019
2020,COVID Impact,5,2020s,0,1,0,26,FY2020
