Year,Fleet_Type,BlockHours,AirborneHours,Departures,RPM,ASM,Gallons,AircraftDays,Aircraft_InFleet,SeatsPerDep,AvgStageLength,GalsPerBlockHour,LoadFactor_Pct,DailyUtil_BH,CPBH_Total,CPBH_ExFuel,CPBH_Fuel,CPBH_Pilots,Era
1995,Small_Narrowbody,19202.0,16614.0,14509.0,347337000.0,716894000.0,13561406.0,1957.0,5.361643835616438,110.46321439395959,447.3009166724102,706.2496614935944,0.48450259034111043,9.811957077158917,0.0,0.0,0.0,0.0,Startup & Growth
1996,Small_Narrowbody,32808.0,28774.0,18126.0,782861000.0,1308512000.0,25409517.0,2963.0,8.095628415300547,118.24451385729857,610.5127441244621,774.4914959765911,0.5982833936563058,11.072561592980087,0.0,0.0,0.0,0.0,Startup & Growth
1997,Small_Narrowbody,42961.0,29737.0,21319.0,1028272000.0,1810419000.0,30909761.0,4269.0,11.695890410958905,122.96191107320021,690.6239973732352,719.4842066059915,0.5679745959360789,10.063480908877958,0.0,0.0,0.0,0.0,Startup & Growth
1998,Small_Narrowbody,48501.0,43058.0,22097.0,1286527000.0,2174102000.0,42208037.0,5303.0,14.528767123287672,126.2881483842846,779.0834954971263,870.2508608069936,0.5917509850043834,9.14595511974354,2144.3409414238886,1677.0503700954623,467.2905713284262,245.81905527721077,Startup & Growth
1999,Small_Narrowbody,71789.0,61901.0,32259.0,2002568000.0,3386558000.0,53133576.0,6360.0,17.424657534246574,129.28498021723627,812.0065718094176,740.135341068966,0.5913284225458415,11.287578616352203,2083.683711989302,1679.987602557495,403.6961094318072,243.16371588962093,Startup & Growth
2000,Small_Narrowbody,82624.0,73493.0,36517.0,2596461000.0,4038523000.0,52315490.0,6455.0,17.636612021857925,132.3674210250185,835.499822000712,633.1754695972114,0.6429234153179268,12.799999999999997,2709.586439775368,2003.3755325329203,706.2109072424478,305.75595468628967,Startup & Growth
2001,Small_Narrowbody,91772.0,80392.0,40563.0,2710254000.0,4681184000.0,70528228.0,7753.0,21.24109589041096,133.70908269434605,863.107191282696,768.5157564398727,0.5789676287024821,11.836966335612018,2823.01769602929,2226.7162097371747,596.3014862921152,426.5754260558776,Startup & Growth
2002,Small_Narrowbody,115193.0,99292.0,46446.0,3061037348.0,5176819460.0,29725856.0,5648.0,15.473972602739726,131.22285538268082,849.3862334754339,258.05262472546076,0.5912969095507148,20.3953611898017,2517.039316625142,1959.729323830441,557.3099927947011,453.56245605201707,Startup & Growth
2003,Small_Narrowbody,134414.0,116035.0,59239.0,4652261072.0,6749643294.0,98648940.0,13127.0,35.964383561643835,132.063848203465,862.7583179999663,733.9186394274406,0.689260286708123,10.239506360935478,2566.9864002261675,1912.214947847695,654.7714523784724,481.435639144732,Startup & Growth
2004,Small_Narrowbody,189607.0,152083.0,71414.0,6311976257.0,8596432372.0,122032006.0,15296.0,41.79234972677595,126.24662265048032,953.4877615033466,643.604961842126,0.7342553263792488,12.395855125523013,2405.090476617425,1565.2238577689645,839.8666188484602,392.34717072681923,Expansion & Crisis
2005,Small_Narrowbody,197283.0,176846.0,79779.0,7285020001.0,9194742074.0,137718795.0,17024.0,46.64109589041096,122.69360344742002,939.3534639441457,698.0773558796247,0.792302812016867,11.588522086466167,2715.789297608005,1445.6867545607076,1270.1025430472976,370.19190705737435,Expansion & Crisis
2006,Small_Narrowbody,227496.0,193524.0,94152.0,8360277319.0,10492689662.0,156077671.0,18453.0,50.556164383561644,123.27903332656393,903.9992246579998,686.0677594331329,0.796771617984407,12.328401885872216,2889.9704610190947,1468.7394064071455,1421.2310546119493,359.54979428209725,Expansion & Crisis
2007,Small_Narrowbody,259989.0,217908.0,105087.0,9893004732.0,12585106630.0,180298733.0,20735.0,56.80821917808219,129.3640306386114,925.7513774301293,693.4860051771421,0.786088272658521,12.538654448999276,2909.170464904285,1335.5201950851772,1573.6502698191077,365.4433072168438,Expansion & Crisis
2008,Small_Narrowbody,266977.0,205676.0,99202.0,9557906051.0,11704146374.0,165442051.0,20789.0,56.95616438356164,130.94947964232085,900.9808068385718,619.6865310494911,0.8166256423648517,12.842224253210832,3389.591238196549,1324.2683077568477,2065.3229304397014,313.2601310225226,Expansion & Crisis
2009,Small_Narrowbody,201980.0,169429.0,85116.0,7891500291.0,9778894376.0,137811158.0,17093.0,46.83013698630137,132.63361025425266,866.213520372198,682.3010100009902,0.8069931004028261,11.816533083718483,2511.515001485295,1305.2721061491234,1206.2428953361718,342.8652341816021,Expansion & Crisis
2010,Small_Narrowbody,186844.0,169010.0,75573.0,7777543138.0,9412633832.0,173160059.0,13928.0,38.15890410958904,133.36014475713787,933.9388538234555,926.7627486031128,0.8262876551681841,13.414991384261919,2963.7107961722077,1422.459003232643,1541.2517929395647,389.658164029886,Restructuring
2011,Small_Narrowbody,173840.0,146991.0,71995.0,7633253267.0,8893984550.0,152417565.0,13775.0,37.73972602739726,135.65364227764294,910.6732411973054,876.7692418315693,0.8582489911116384,12.619963702359348,2758.5604003681547,1085.6644040497008,1672.8959963184539,308.29084215370455,Restructuring
2012,Small_Narrowbody,157409.0,137043.0,66226.0,7211107998.0,8143471032.0,113746589.0,15918.0,43.49180327868852,136.59109664749727,900.2406909672939,722.6180777465075,0.8855079080730743,9.888742304309588,3368.085624074862,1239.8113830848297,2128.2742409900325,332.80301634595224,Restructuring
2013,Small_Narrowbody,134046.0,112600.0,58857.0,6246607913.0,6874104852.0,96919402.0,13287.0,36.4027397260274,137.62044412006503,848.6626229675314,723.0309147606046,0.9087158324596356,10.08850756378415,4048.6071945451563,1744.1314921743283,2304.475702370828,419.96001372663113,Restructuring
2014,Small_Narrowbody,141409.0,119303.0,61450.0,6535208343.0,7273883340.0,102326179.0,12580.0,34.465753424657535,139.3281700123618,849.5824084621644,723.6185744896011,0.8984483304897216,11.240779014308426,3585.5253201705696,1559.5595754159924,2025.9657447545771,477.672071791753,Restructuring
2015,Small_Narrowbody,155106.0,130779.0,62246.0,7289120990.0,8405268870.0,114263471.0,12466.0,34.153424657534245,144.9963118120378,931.2862834559651,736.6798898817583,0.8672085453466285,12.442323118883362,2848.156744419945,1715.370972109396,1132.785772310549,598.9010096321225,ULCC Pivot
2016,Small_Narrowbody,120488.0,101305.0,45314.0,5992760609.0,6775892412.0,89692284.0,10330.0,28.224043715846996,149.93324616296675,997.3237410071943,744.4084390146736,0.8844238138118773,11.663891577928364,2627.385299780891,1726.050312064272,901.3349877166189,562.5866476329593,ULCC Pivot
2017,Small_Narrowbody,79163.0,66624.0,30372.0,3893560256.0,4447475700.0,59415819.0,7009.0,19.202739726027396,150.0,976.2227709732648,750.5503707540139,0.8754539695405194,11.294478527607364,2643.035130048129,1628.4189583517555,1014.6161716963733,500.90168386746336,ULCC Pivot
2018,Small_Narrowbody,49283.0,40851.0,19597.0,2364139414.0,2716803450.0,36747285.0,5281.0,14.468493150684932,150.0,924.2242690207685,745.6381510865816,0.8701915532387887,9.332134065517895,2826.9228740133512,1691.3925694458533,1135.530304567498,635.8135665442445,ULCC Pivot
2019,Small_Narrowbody,25690.0,21099.0,10541.0,1225046224.0,1383219300.0,18644577.0,2460.0,6.739726027397261,150.0,874.8185181671569,725.7523160762943,0.8856485909356528,10.44308943089431,2869.114441416893,1736.25496302063,1132.859478396263,674.1323472168159,ULCC Pivot
2020,Small_Narrowbody,4116.0,3312.0,1906.0,170101653.0,211612650.0,2949398.0,455.0,1.2431693989071038,150.0,740.1631689401888,716.5689990281827,0.8038349928513253,9.046153846153846,3380.71185617104,1906.5403304178815,1474.1715257531584,780.9718172983479,COVID Impact
2008,Large_Narrowbody,135102.0,5805.0,1816.0,375399987.0,426859742.0,4913266.0,596.0,1.632876712328767,161.9176982986607,1451.6938325991189,36.367085609391424,0.879445752464518,226.68120805369128,176.3267013071605,55.085194889786976,121.24150641737353,16.359935456173858,Expansion & Crisis
2009,Large_Narrowbody,12022.0,11217.0,3614.0,670087823.0,778208472.0,9696778.0,1157.0,3.16986301369863,162.0,1329.2075262866629,806.5860921643654,0.8610646723979638,10.39066551426102,3323.4070870071537,1644.757111961404,1678.6499750457497,455.3036100482449,Expansion & Crisis
2010,Large_Narrowbody,24903.0,25118.0,7874.0,1437429162.0,1614044738.0,23124612.0,1964.0,5.380821917808219,161.9983272680994,1265.3469646939293,928.5873991085411,0.8905757865058632,12.679735234215887,3207.815122675983,1513.7557723969003,1694.0593502790825,426.17194715496134,Restructuring
2011,Large_Narrowbody,47009.0,40671.0,16451.0,2699236289.0,2974566240.0,40277629.0,4036.0,11.057534246575342,161.98336191009446,1116.248617105343,856.8067604075816,0.9074386217064038,11.647423191278495,7981.57650662639,3035.2451658193113,4946.331340807079,865.2500584994362,Restructuring
2012,Large_Narrowbody,57261.0,49885.0,18949.0,3375280003.0,3765120912.0,41423661.0,5674.0,15.502732240437158,166.20947265568958,1195.4649849596285,723.4183999580866,0.8964599230379244,10.091822347550229,5528.963168648818,2076.328914968303,3452.6342536805155,545.4696914130037,Restructuring
2013,Large_Narrowbody,61727.0,53029.0,22478.0,3611267099.0,3992558304.0,46411940.0,6136.0,16.81095890410959,168.02068688462927,1057.1359551561527,751.8904207235083,0.9044995273787241,10.059810951760104,4436.324298929156,1948.4382847052343,2487.8860142239214,448.5178285029242,Restructuring
2014,Large_Narrowbody,80707.0,69294.0,30344.0,4618530618.0,5265201288.0,62453351.0,6825.0,18.698630136986303,171.2345836795972,1013.3294555760612,773.8281809508469,0.8771802568168027,11.825201465201465,4828.817079063774,2048.77197764754,2780.045101416234,626.0030728437433,Restructuring
2015,Large_Narrowbody,103215.0,88145.0,35145.0,6106023561.0,7090225646.0,80560761.0,8378.0,22.953424657534246,177.4402588673385,1136.9578033859725,780.5140822554861,0.8611888909973909,12.319766053950824,4040.811316184663,2389.9871142760257,1650.8242019086374,852.8982221576322,ULCC Pivot
2016,Large_Narrowbody,157318.0,133011.0,53530.0,10016697569.0,11582788970.0,126071711.0,12911.0,35.275956284153004,192.61959287095962,1123.3509060339995,801.3813486060083,0.864791510485406,12.184803655797381,3728.47944926836,2401.506947711005,1326.972501557355,814.8274196214039,ULCC Pivot
2017,Large_Narrowbody,228914.0,167071.0,76708.0,15015815314.0,17447773290.0,160040314.0,15961.0,43.728767123287675,196.42614920838096,1157.9773035406997,699.1285548284509,0.8606149944993926,14.342083829334,3807.430039228706,2300.3356282271943,1507.0944110015114,709.7505176616546,ULCC Pivot
2018,Large_Narrowbody,291241.0,229519.0,102844.0,18511062919.0,21727145614.0,210442089.0,22304.0,61.106849315068494,196.35973714090028,1075.8984286881102,722.5702734161742,0.8519785915676056,13.05779232424677,4208.189094255273,2482.8333922764996,1725.3557019787734,998.8923606223025,ULCC Pivot
2019,Large_Narrowbody,363770.0,306240.0,128020.0,22966482975.0,26720696378.0,269371794.0,31224.0,85.54520547945205,196.00969848610956,1064.859693797844,740.5002996398823,0.859501663059539,11.650333077120164,3968.0793358440774,2364.2515875415784,1603.8277483024988,911.9824064656237,ULCC Pivot
2020,Large_Narrowbody,231898.0,196318.0,86746.0,11264669791.0,16734594682.0,159287524.0,29347.0,80.18306010928961,192.18304558350025,1003.8080372582021,686.8861482203382,0.6731366970672114,7.901932054383753,5242.912918610768,3860.0358778428445,1382.8770407679237,1514.64963044097,COVID Impact
